id,FECHA DE ATENCION ,COLONIA ,CALLE,NUMERO ,FOLIO ,ESPECIE,ACLAREO PZA,DESCHUPONEO PZA,ELEVACION DE COPA PZA,LIB  DE CAMARAS PZA,LIB  DE FACHADA PZA,LIB  DE LINEAS ELECTRICAS Y AEREAS PZA,LIB  DE LUMINARIAS PZA,VELA,FACHADA,POSTE,LIB  DE SEMAFOROS PZA,LIB  DE SENALAMIENTOS PZA,LIMPIEZA DE COPA PZA,PODA DE FORMACION RESTAURACION DE COPA PZA,PODA ESTETICA O TOPIARIA PZA,PODA DE MUERDAGO PZA,PODA DE HENO MOTITA PZA,REDUCCIÓN DE COPA PZA,TOTAL,LATITUD ,LONGITUD ,FUENTE DE INFORMACION 
352,25/12/19,ANAHUAC I SECCION,LAGO GARDA,103,25149,PODA DE 1 HULE,1,,,,,,,,,,,,,,,,,,1,19.44932363,-99.18053903,JUD JARDINERIA
353,25/12/20,ANAHUAC I SECCION,LAGO PATZCUARO,32,25515,PODA DE 3 TROENOS Y 1 ARAUCARIA,,,4,,,,,,,,,,,,,,,,4,19.44579992,-99.17147265,JUD JARDINERIA
354,25/12/21,POPOTLA,MAR JONICO,28,26821,PODA DE 1 FRESNO,,,1,,,,,,,,,,,,,,,,1,19.45308345,-99.1826156,JUD JARDINERIA
355,25/12/22,PERALITOS,LAGO GARDA,194,27269,PODA DE 2 ARBOLES PARA LIBERACION DE FACHADA,,,,,2,,,,,,,,,,,,,,2,19.44991515,-99.18678998,JUD JARDINERIA
356,25/12/23,LOS MANZANOS,PRIV LAGO COMO,14,27623,PODA DE 1 AGUACATE,1,,,,,,,,,,,,,,,,,,1,19.44814845,-99.18404033,JUD JARDINERIA
357,25/12/24,ARGENTINA ANTIGUA,RIO TLACOTALPAN,68,27639,PODA DE 1 LIQUIDAMBAR,1,,,,,,,,,,,,,,,,,,1,19.4574003,-99.2078654,JUD JARDINERIA
358,25/12/25,ANAHUAC I SECCION,LAGO SILVERIO,271,28022,PODA DE 1 LAUREL,1,,,,,,,,,,,,,,,,,,1,19.441704,-99.18128523,JUD JARDINERIA
359,25/12/26,POPOTLA,MAR EGEO,384 ATRAS DEPORTIVO PLAN SEXENAL,28332,PODA DE 1 ROSA LAUREL,,,1,,,,,,,,,,,,,,,,1,19.45463408,-99.17445233,JUD JARDINERIA
360,25/12/27,OBSERVATORIO,GRAL VICTORIANO CEPEDA,5,28466,PODA DE 1 FRAMBOYAN,,,1,,,,,,,,,,,,,,,,1,19.40461072,-99.19645452,JUD JARDINERIA
361,25/12/28,AMPLIACION DANIEL GARZA,GRAL JUAN VILLEGAS,67,28488,PODA DE 1 FICUS,1,,,,,,,,,,,,,,,,,,1,19.40641736,-99.19652843,JUD JARDINERIA
362,25/12/29,POPOTLA,PLAN DE GUADALUPE,31,29057,PODA DE 1 TROENO,1,,,,,,,,,,,,,,,,,,1,19.45543167,-99.17102906,JUD JARDINERIA
363,25/12/30,ESCANDON II SECCION,13 DE SEPTIEMBRE,57,29266,PODA DE 1 LAUREL Y 1 PATA DE VACA EN EL PREDIO DE A LADO,,,2,,,,,,,,,,,,,,,,2,19.39935362,-99.18054983,JUD JARDINERIA
364,25/12/31,ARGENTINA ANTIGUA,RIO TLACOTALPAN,120,29285,PODA DE 1 LAUREL,,,,,1,,,,,,,,,,,,,,1,19.45780917,-99.2097766,JUD JARDINERIA
365,26/01/01,ANAHUAC II SECCION,LAGO CHAPALA,41,29831,PODA DE 3 FRESNOS 1 CASUARINA Y 1 LAUREL,5,,,,,,,,,,,,,,,,,,5,19.44659328,-99.175043,JUD JARDINERIA
366,26/01/02,POPOTLA,PLAN DE GUADALUPE,38,29842,PODA DE 1 FICUS 1 CASUARINA1 YUCA Y 1 JACARANDA,4,,,,,,,,,,,,,,,,,,4,19.45509075,-99.1710207,JUD JARDINERIA
367,26/01/03,ANAHUAC I SECCION,LAGO GARDA,148 B,29943,PODA DE 1 LAUREL,1,,,,,,,,,,,,,,,,,,1,19.44943818,-99.18386377,JUD JARDINERIA
368,26/01/04,ANAHUAC II SECCION,LAGO CUITZEO,89,30483,PODA DE 1 FRESNOL Y 1 EUCALIPTO,2,,,,,,,,,,,,,,,,,,2,19.44616862,-99.1739518,JUD JARDINERIA
369,26/01/05,ARGENTINA ANTIGUA,RIO TLACOTALPAN,21,30770,PODA DE 1 BUGAMBILIA,1,,,,,,,,,,,,,,,,,,1,19.45725195,-99.20627147,JUD JARDINERIA
370,26/01/06,ANAHUAC II SECCION,LAGO CHAPALA,101,31026,PODA DE 1 LAUREL,1,,,,,,,,,,,,,,,,,,1,19.44245035,-99.17558023,JUD JARDINERIA
371,26/01/07,AMERICA,PTE 75,63 SOBRE,31124,PODA DE 1 FICUS,,,1,,,,,,,,,,,,,,,,1,19.40332616,-99.2025933,JUD JARDINERIA
372,26/01/08,POPOTLA,MAR EGEO,195,546,PODA DE 1 TROENO Y 1 FICUS,2,,,,,,,,,,,,,,,,,,2,19.45844708,-99.18000913,JUD JARDINERIA
373,26/01/09,ANAHUAC I SECCION,LAGUNA DE TERMINOS,150 SOBRE,1574,PODA DE 1 LAUREL,1,,,,,,,,,,,,,,,,,,1,19.44423662,-99.18611733,JUD JARDINERIA
374,26/01/10,ANAHUAC I SECCION,LAGUNA DE TAMIAHUA,74,2680,PODA DE 2 FICUS EN PROGRAMA OLA DE SERVICIOS,2,,,,,,,,,,,,,,,,,,2,19.4466784,-99.17579153,JUD JARDINERIA
375,26/01/11,ANAHUAC I SECCION,LAGUNA DE TERMINOS,322,2534,PODA DE 1 FICUS,1,,,,,,,,,,,,,,,,,,1,19.44327958,-99.18020206,JUD JARDINERIA
376,26/01/12,DANIEL GARZA,GRAL MIGUEL QUINTANA,43,4988,PODA TOPIARIA BARRIDO Y RETIRO DE DESECHO VEGETAL,,,,,,,,,,,,,,,2,,,,2,19.40674166,-99.1981396,JUD JARDINERIA
377,26/01/13,POLANCO V SECCION,AV PRESIDENTE MASARYK,219,5052,PODA DE 1 FICUS,,,1,,,,,,,,,,,,,,,,1,19.43177275,-99.19056495,JUD JARDINERIA
378,26/01/14,ANAHUAC I SECCION,LAGUNA DE TERMINOS,126,5055,PODA DE 1 COLORIN,1,,,,,,,,,,,,,,,,,,1,19.4442651,-99.18702723,JUD JARDINERIA
379,26/01/15,ANAHUAC I SECCION,LAGUNA DE SAN CRISTOBAL,GLORIETA SAN CRISTOBAL,SIN FOLIO,MANTENIMIENTO,,,,,,,,,,,,,,,8,,,,8,19.44394447,-99.17081132,JUD JARDINERIA
380,26/01/16,PENSIL SUR,LAGO GINEBRA,199,SIN FOLIO,SE REALIZO PODA DE 1 ARBOL NO ESPECIFICA LA ESPECIE NI EL METODO DE PODALOS DIAS 3  4 Y 05  ,,,1,,,,,,,,,,,,,,,,1,19.44615958,-99.1984935,JUD JARDINERIA
381,26/01/17,POLANCO II SECCION,SOCRATES,224,SIN FOLIO,PODA DE 1 FICUS,,,,,1,,,,,,,,,,,,,,1,19.4353488,-99.20395916,JUD JARDINERIA
382,26/01/18,POLANCO III SECCION,CALDERON DE LA BARCA,30,SIN FOLIO,PODA DE 1 FRESNO,,,1,,,,,,,,,,,,,,,,1,19.4293014,-99.19981306,JUD JARDINERIA
383,26/01/19,LOMA HERMOSA,PRESA SALINILLAS,ESQUINA,SIN FOLIO,PODA DE 1 PIRUL,,,1,,,,,,,,,,,,,,,,1,19.44468075,-99.21272158,JUD JARDINERIA
384,26/01/20,LOS MANZANOS,LAGO MAYOR,62,5351,PODA DE 2 FRESNOS,2,,,,,,,,,,,,,,,,,,2,19.44937145,-99.18549899,JUD JARDINERIA
385,26/01/21,POPOTLA,MAR MARMARA,167,5191,PODA TOPIARIA 3 FICUS BARRIDO Y RETIRO DE DESECHO VEGETAL,,,,,,,,,,,,,,,3,,,,3,19.4557604,-99.173895,JUD JARDINERIA
386,26/01/22,ESCANDON I SECCION,AV PUENTE DE LA MORENA,36,5954,PODA DE 1 FRESNO,1,,,,,,,,,,,,,,,,,,1,19.39840474,-99.18370615,JUD JARDINERIA
387,26/01/23,SAN MIGUEL CHAPULTEPEC I SECCION,GRAL JUAN CANO,156,5155,PODA TOPIARIA DE 1 ARBOL PODA DE SETO DESMALEZADO BARRIDO Y RETIRO DE DESECHO VEGETAL,,,,,,,,,,,,,,,1,,,,1,19.4083707,-99.1860938,JUD JARDINERIA
388,26/01/24,DANIEL GARZA,GRAL SOSTENES ROCHA,47,5133,PODA TOPIARIA DE 4 ARBOLES BARRIDO Y RETIRO DE DESECHO VEGETAL,,,,,,,,,,,,,,,4,,,,4,19.40816358,-99.1918147,JUD JARDINERIA
389,26/01/25,POPOTLA,MAR TIRRENO,137,5259,PODA DE 1 FRESNO,1,,,,,,,,,,,,,,,,,,1,19.45508415,-99.18326253,JUD JARDINERIA
390,26/01/26,AMERICA,PTE 75,18,SIN FOLIO,PODA TOPIARIA DE 1 ARBOL,,,,,,,,,,,,,,,1,,,,1,19.4018211,-99.20237327,JUD JARDINERIA
391,26/01/27,SAN MIGUEL CHAPULTEPEC I SECCION,AV PARQUE LIRA,ESQUINA,SIN FOLIO,MANTENIMIENTO,,,,,,,,,,,,,,,1,,,,1,19.40618558,-99.18884679,JUD JARDINERIA
392,26/01/28,AMPLIACION DANIEL GARZA,GRAL SOSTENES ROCHA,15,SIN FOLIO,MANTENIMIENTO,,,,,,,,,,,,,,,1,,,,1,19.40850094,-99.19061925,JUD JARDINERIA
393,26/01/29,SAN MIGUEL CHAPULTEPEC II SECCION,AV JOSE VASCONCELOS,127,SIN FOLIO,MANTENIMIENTO,,,,,,,,,,,,,,,1,,,,1,19.41646111,-99.1798203,JUD JARDINERIA
394,26/01/30,AMPLIACION DANIEL GARZA,GRAL ENRIQUE TORROELLA,59,SIN FOLIO,MANTENIMIENTO,,,,,,,,,,,,,,,1,,,,1,19.40834098,-99.19150573,JUD JARDINERIA
395,26/01/31,SAN MIGUEL CHAPULTEPEC I SECCION,GOB JOSE CEBALLOS,ESQUINA,SIN FOLIO,MANTENIMIENTO,,,,,,,,,,,,,,,1,,,,1,19.40980286,-99.19076372,JUD JARDINERIA
396,26/02/01,POLANCO V SECCION,SCHILLER,ESQUINA,SIN FOLIO,PODA DE 3 LAUREL 2 FICUS 4 JACARANDAS Y 1 FRESNO,10,,,,,,,,,,,,,,,,,,10,19.43318768,-99.18634027,JUD JARDINERIA
397,26/02/02,ANAHUAC I SECCION,LAGO CHAPALA,14,SIN FOLIO,PODA DE 1 FRESNO Y 1 FICUS,,,2,,,,,,,,,,,,,,,,2,19.44802502,-99.17445752,JUD JARDINERIA
398,26/02/03,ANAHUAC I SECCION,LAGO CHAPALA,17,SIN FOLIO,PODA DE 1 FICUS,,,1,,,,,,,,,,,,,,,,1,19.44799735,-99.17483986,JUD JARDINERIA
399,26/02/04,ANAHUAC I SECCION,LAGO CHAPALA,PASTELERIA ESQUINA,SIN FOLIO,PODA DE 2 TROENOS,,,2,,,,,,,,,,,,,,,,2,19.44826171,-99.17457087,JUD JARDINERIA
400,26/02/05,ANAHUAC I SECCION,LAGO CHAPALA,104 ESQUINA,SIN FOLIO,PODA DE 1 ARAUCARIA,,,1,,,,,,,,,,,,,,,,1,19.44224118,-99.17536747,JUD JARDINERIA
401,26/02/06,ANAHUAC I SECCION,LAGO CHAPALA,A UN COSTADO DEL 18,SIN FOLIO,PODA DE 1 EUCALIPTO,,,1,,,,,,,,,,,,,,,,1,19.44802266,-99.17482108,JUD JARDINERIA
402,26/02/07,ANAHUAC I SECCION,LAGO CHAPALA,18,SIN FOLIO,PODA DE 1 TROENO,,,1,,,,,,,,,,,,,,,,1,19.44784203,-99.17461088,JUD JARDINERIA
