ID_PODA,FECHA DE ATENCION ,COLONIA ,CALLE,NUMERO ,FOLIO ,ESPECIE,ACLAREO PZA,DESCHUPONEO PZA,ELEVACION DE COPA PZA,LIB  DE CAMARAS PZA,LIB  DE FACHADA PZA,LIB  DE LINEAS ELECTRICAS Y AEREAS PZA,LIB  DE LUMINARIAS PZA,VELA,FACHADA,POSTE,LIB  DE SEMAFOROS PZA,LIB  DE SENALAMIENTOS PZA,LIMPIEZA DE COPA PZA,PODA DE FORMACION RESTAURACION DE COPA PZA,PODA ESTETICA O TOPIARIA PZA,PODA DE MUERDAGO PZA,PODA DE HENO MOTITA PZA,REDUCCIÓN DE COPA PZA,TOTAL,LATITUD ,LONGITUD ,FUENTE DE INFORMACION 
209,25/07/2029,POPOTLA,MAR MEDITERRANEO,126,18,PODA DE 2 FICUS,,,,,,,,,,,,,2,,,,,,2,19.45821859,-99.18098965,EMPRESA KAAB
210,25/07/1930,POPOTLA,MAR SONDA,17,12757,PODA DE 2 PIRUL BRASILENO,,,,,,,,,,,,,2,,,,,,2,19.4570952,-99.17715593,EMPRESA KAAB
211,25/07/1931,POPOTLA,MAR MEDITERRANEO,104,14158,PODA DE 2 FICUS Y 1 TROENO,,,1,,,,,,,,,,2,,,,,,3,19.45890153,-99.18273743,EMPRESA KAAB
212,25/08/2001,POPOTLA,MAR MEDITERRANEO,157 A,14190,PODA DE 1 FICUS,,,,,,,,,,,,,1,,,,,,1,19.45692961,-99.178924,EMPRESA KAAB
213,25/08/2002,ANZURES,BECQUER,42,14639,PODA DE 1 TROENO PARA LIBERACION DE FACHADA,,,1,,,,,,,,,,,,,,,,1,19.43369364,-99.17548396,JUD JARDINERIA
214,25/08/2003,ANZURES,BECQUER,39,16882,PODA DE 1 TROENO PARA LIBERACION DE FACHADA,,,1,,,,,,,,,,,,,,,,1,19.43365525,-99.17560043,JUD JARDINERIA
215,25/08/2004,ANZURES,VICTOR HUGO,23,SIN FOLIO,PODA DE 7 ARBOLES 3 TROENOS 3 LAURELES Y 1 YUCA PARA LIBERACION DE FACHADA,,,7,,,,,,,,,,,,,,,,7,19.42809442,-99.17599712,JUD JARDINERIA
216,25/08/2005,BOSQUE DE LAS LOMAS,BOSQUE DE JACARANDAS,ESQUINA,SIN FOLIO,PODA DE 2 ARAUCARIAS,,,2,,,,,,,,,,,,,,,,2,19.4034835,-99.24571339,JUD JARDINERIA
217,25/08/2006,BOSQUE DE LAS LOMAS,BOSQUE DE JACARANDAS,242,SIN FOLIO,PODA DE 5 LIQUIDAMABAR,,,5,,,,,,,,,,,,,,,,5,19.4017734,-99.24757452,JUD JARDINERIA
218,25/08/2007,BOSQUE DE LAS LOMAS,BOSQUE DE JACARANDAS,243,SIN FOLIO,PODA DE 3 FICUS,,,3,,,,,,,,,,,,,,,,3,19.40150512,-99.24727166,JUD JARDINERIA
